epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1649.96,0.75192,0.43057,0.97549,0.76997,0.80407,0.71732,0.54548,0.84377,0.70784,1.05963,0.00879,0.00879,0.00879
57,1679.12,0.75026,0.42945,0.97018,0.78196,0.80281,0.74057,0.56589,0.82405,0.69297,1.02428,0.008768,0.008768,0.008768
58,1708.53,0.74928,0.42605,0.97122,0.77456,0.79487,0.70916,0.53778,0.8334,0.72516,1.04933,0.008746,0.008746,0.008746
59,1737.7,0.74585,0.4232,0.96738,0.78778,0.80317,0.74034,0.57139,0.83556,0.70095,1.05104,0.008724,0.008724,0.008724
60,1766.8,0.74255,0.41802,0.97209,0.78141,0.80271,0.71913,0.5512,0.83891,0.69862,1.05079,0.008702,0.008702,0.008702
61,1796,0.74219,0.42136,0.96851,0.77702,0.77914,0.71833,0.55044,0.82336,0.72157,1.03059,0.00868,0.00868,0.00868
62,1825.15,0.74162,0.41842,0.96869,0.78084,0.7978,0.72273,0.55289,0.83972,0.71091,1.06051,0.008658,0.008658,0.008658
63,1854.35,0.73848,0.41951,0.96676,0.79722,0.78339,0.73532,0.5688,0.83593,0.68367,1.04973,0.008636,0.008636,0.008636
64,1883.73,0.73476,0.41427,0.96037,0.77266,0.80129,0.71707,0.54847,0.82576,0.71204,1.03032,0.008614,0.008614,0.008614
65,1912.91,0.73376,0.41351,0.96462,0.78516,0.80044,0.74144,0.57041,0.8425,0.71175,1.103,0.008592,0.008592,0.008592
66,1942.03,0.73466,0.41683,0.96786,0.78441,0.80583,0.73876,0.56876,0.83762,0.69104,1.09205,0.00857,0.00857,0.00857
67,1971.14,0.72264,0.40701,0.95894,0.77831,0.78909,0.71581,0.54834,0.83027,0.70607,1.04318,0.008548,0.008548,0.008548
68,2000.52,0.72332,0.40246,0.95594,0.78592,0.78571,0.70942,0.54478,0.8401,0.70821,1.05902,0.008526,0.008526,0.008526
69,2029.66,0.72408,0.40205,0.96063,0.78211,0.80277,0.71013,0.548,0.84285,0.7097,1.07517,0.008504,0.008504,0.008504
70,2058.83,0.72353,0.40543,0.95858,0.76712,0.80213,0.72005,0.55294,0.84067,0.70811,1.06155,0.008482,0.008482,0.008482
71,2088.05,0.72046,0.40512,0.95849,0.78027,0.79362,0.71181,0.5423,0.82669,0.71217,1.06031,0.00846,0.00846,0.00846
72,2117.19,0.72026,0.40752,0.96058,0.78082,0.80394,0.7317,0.5636,0.84295,0.67535,1.08218,0.008438,0.008438,0.008438
73,2146.24,0.71725,0.40183,0.95624,0.78144,0.80057,0.71907,0.55153,0.83789,0.69787,1.06096,0.008416,0.008416,0.008416
74,2175.62,0.71659,0.4023,0.95325,0.77642,0.80283,0.73765,0.56759,0.82861,0.70446,1.04052,0.008394,0.008394,0.008394
75,2204.88,0.71108,0.3941,0.95176,0.77986,0.79194,0.72161,0.55342,0.83578,0.70598,1.06896,0.008372,0.008372,0.008372
76,2234.36,0.7166,0.40209,0.95815,0.77735,0.79466,0.71683,0.54825,0.83779,0.70852,1.07529,0.00835,0.00835,0.00835
77,2263.57,0.7099,0.39512,0.95216,0.78203,0.79671,0.72342,0.55829,0.84414,0.68581,1.07781,0.008328,0.008328,0.008328
78,2293.3,0.71506,0.40384,0.95536,0.7761,0.8037,0.72232,0.55531,0.83222,0.69215,1.05984,0.008306,0.008306,0.008306
79,2322.4,0.70562,0.39201,0.94995,0.76179,0.80716,0.7178,0.55065,0.83333,0.70924,1.0708,0.008284,0.008284,0.008284
80,2351.51,0.70584,0.39437,0.95004,0.77344,0.79875,0.71851,0.55355,0.83366,0.69155,1.05735,0.008262,0.008262,0.008262
81,2381,0.70258,0.39159,0.9463,0.77005,0.80739,0.71886,0.54944,0.83301,0.6958,1.0568,0.00824,0.00824,0.00824
82,2410.01,0.70247,0.38904,0.94524,0.77183,0.80561,0.71174,0.5467,0.84004,0.69962,1.0637,0.008218,0.008218,0.008218
83,2439.13,0.6991,0.38567,0.94574,0.77884,0.80173,0.71197,0.54427,0.83934,0.70596,1.06463,0.008196,0.008196,0.008196
84,2468.08,0.69803,0.39062,0.94738,0.78066,0.78814,0.71283,0.55225,0.84303,0.69946,1.07382,0.008174,0.008174,0.008174
85,2497.42,0.69932,0.38705,0.94843,0.76842,0.80071,0.71502,0.55022,0.83265,0.70997,1.05663,0.008152,0.008152,0.008152
86,2526.51,0.6954,0.38763,0.94713,0.78399,0.78983,0.71033,0.54538,0.83643,0.72011,1.0711,0.00813,0.00813,0.00813
87,2555.56,0.69636,0.38773,0.94804,0.77663,0.79429,0.70742,0.54149,0.83616,0.70862,1.06507,0.008108,0.008108,0.008108
88,2585.28,0.69455,0.38597,0.95033,0.7858,0.79041,0.70326,0.54037,0.84202,0.69399,1.09994,0.008086,0.008086,0.008086
89,2614.46,0.69348,0.38592,0.94358,0.77528,0.80166,0.71554,0.54911,0.83855,0.69718,1.06527,0.008064,0.008064,0.008064
90,2643.69,0.69308,0.38401,0.94655,0.78569,0.7958,0.71708,0.55023,0.83231,0.69329,1.06207,0.008042,0.008042,0.008042
91,2672.88,0.68956,0.38079,0.94068,0.78391,0.79788,0.71401,0.54602,0.83281,0.70183,1.06411,0.00802,0.00802,0.00802
92,2702.18,0.68866,0.38417,0.94525,0.78025,0.8024,0.71647,0.5491,0.8379,0.69004,1.0704,0.007998,0.007998,0.007998
93,2731.29,0.68338,0.37473,0.9368,0.79442,0.79634,0.72144,0.55417,0.83822,0.6942,1.06115,0.007976,0.007976,0.007976
94,2760.27,0.68356,0.37834,0.93835,0.79558,0.79227,0.71936,0.5511,0.84169,0.69373,1.06989,0.007954,0.007954,0.007954
95,2789.53,0.68733,0.38324,0.94285,0.78649,0.7944,0.71374,0.54836,0.84163,0.70259,1.06845,0.007932,0.007932,0.007932
96,2819.14,0.68501,0.37949,0.94012,0.78614,0.78455,0.70567,0.54164,0.8502,0.71838,1.07807,0.00791,0.00791,0.00791
97,2848.32,0.68027,0.37404,0.93899,0.78269,0.79579,0.71288,0.54812,0.83878,0.70245,1.071,0.007888,0.007888,0.007888
98,2877.39,0.67969,0.37731,0.94116,0.78698,0.80239,0.71087,0.55024,0.83879,0.69145,1.07481,0.007866,0.007866,0.007866
99,2906.5,0.67568,0.37186,0.93792,0.78856,0.79867,0.71583,0.55258,0.84009,0.68434,1.07673,0.007844,0.007844,0.007844
100,2935.87,0.67826,0.37807,0.93811,0.78097,0.80284,0.71114,0.54668,0.83925,0.6999,1.067,0.007822,0.007822,0.007822
101,2965.36,0.6745,0.37638,0.93889,0.77936,0.79789,0.71507,0.54995,0.84092,0.69451,1.06582,0.0078,0.0078,0.0078
102,2994.45,0.66793,0.36777,0.93652,0.78235,0.7989,0.71348,0.55089,0.83996,0.69739,1.07561,0.007778,0.007778,0.007778
103,3023.63,0.66811,0.36892,0.93443,0.78032,0.80234,0.71777,0.55415,0.83928,0.68288,1.0756,0.007756,0.007756,0.007756
104,3053.24,0.66959,0.37271,0.93548,0.78696,0.78837,0.71478,0.55064,0.83776,0.70641,1.06871,0.007734,0.007734,0.007734
105,3082.33,0.66756,0.37133,0.93331,0.78157,0.78695,0.7136,0.54769,0.83934,0.70714,1.06605,0.007712,0.007712,0.007712
