epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1113.89,0.8348,0.51012,1.04606,0.78877,0.79474,0.77009,0.58731,0.82968,0.67376,1.07547,0.00879,0.00879,0.00879
57,1133.64,0.83813,0.50704,1.04601,0.78451,0.78667,0.75667,0.5817,0.84764,0.71938,1.10114,0.008768,0.008768,0.008768
58,1153.41,0.83695,0.50566,1.04142,0.7896,0.7989,0.76643,0.5851,0.83295,0.66816,1.06788,0.008746,0.008746,0.008746
59,1172.6,0.84,0.51058,1.04909,0.77574,0.78814,0.76356,0.58256,0.83533,0.70301,1.10315,0.008724,0.008724,0.008724
60,1192.22,0.82939,0.49546,1.03687,0.79213,0.79392,0.7513,0.57659,0.83528,0.69005,1.08427,0.008702,0.008702,0.008702
61,1212.04,0.83419,0.50057,1.03732,0.77764,0.7983,0.74556,0.56485,0.8319,0.68375,1.05762,0.00868,0.00868,0.00868
62,1232.07,0.83271,0.49813,1.03506,0.77291,0.7895,0.75557,0.57687,0.83358,0.70729,1.06037,0.008658,0.008658,0.008658
63,1252.11,0.82978,0.49431,1.03454,0.79849,0.78359,0.76561,0.58614,0.83668,0.6804,1.05393,0.008636,0.008636,0.008636
64,1272.47,0.82771,0.49457,1.03135,0.78044,0.77876,0.75445,0.57809,0.84113,0.70527,1.07151,0.008614,0.008614,0.008614
65,1292.43,0.82705,0.49157,1.03485,0.7854,0.79744,0.76689,0.58911,0.83225,0.69027,1.0606,0.008592,0.008592,0.008592
66,1312.59,0.82563,0.49151,1.03421,0.78767,0.79914,0.7726,0.59217,0.83766,0.69177,1.08692,0.00857,0.00857,0.00857
67,1332.73,0.82253,0.48812,1.02834,0.78104,0.78701,0.76512,0.58936,0.83429,0.68941,1.05818,0.008548,0.008548,0.008548
68,1352.69,0.8223,0.48857,1.03111,0.76807,0.79841,0.76728,0.59066,0.83289,0.67733,1.06304,0.008526,0.008526,0.008526
69,1372.54,0.82013,0.47933,1.02938,0.79041,0.7801,0.76854,0.59563,0.82987,0.69236,1.07115,0.008504,0.008504,0.008504
70,1392.18,0.82375,0.48806,1.03186,0.79793,0.79198,0.76259,0.58839,0.83567,0.6886,1.07267,0.008482,0.008482,0.008482
71,1411.78,0.81373,0.47311,1.02179,0.79016,0.79627,0.7525,0.58454,0.84528,0.70328,1.09732,0.00846,0.00846,0.00846
72,1431.33,0.81728,0.48148,1.02763,0.78364,0.80602,0.76688,0.58873,0.83511,0.69104,1.09017,0.008438,0.008438,0.008438
73,1451.27,0.81795,0.48329,1.03208,0.79022,0.78502,0.76253,0.58905,0.8373,0.70525,1.09923,0.008416,0.008416,0.008416
74,1470.1,0.81383,0.48023,1.02856,0.77962,0.7944,0.7523,0.57901,0.83802,0.70676,1.08481,0.008394,0.008394,0.008394
75,1489.75,0.81288,0.47843,1.0224,0.78973,0.79508,0.75303,0.57777,0.84234,0.70322,1.07604,0.008372,0.008372,0.008372
76,1509.22,0.81619,0.48121,1.02603,0.78154,0.80156,0.74725,0.57397,0.83888,0.70956,1.08645,0.00835,0.00835,0.00835
77,1528.18,0.81153,0.47894,1.02386,0.79329,0.80042,0.75961,0.58438,0.83914,0.69489,1.0834,0.008328,0.008328,0.008328
78,1547.56,0.80992,0.47658,1.02307,0.78689,0.78317,0.75091,0.57688,0.84156,0.71629,1.09312,0.008306,0.008306,0.008306
79,1567.28,0.80585,0.46943,1.02042,0.79042,0.79357,0.76273,0.58569,0.8338,0.69607,1.09433,0.008284,0.008284,0.008284
80,1586.7,0.80863,0.47274,1.02729,0.7883,0.80224,0.75504,0.57769,0.83133,0.70459,1.11038,0.008262,0.008262,0.008262
